time_s,accel_x_g,accel_y_g,accel_z_g
0.0030,-0.4477,-9.9647,0.0958
0.0060,-0.4166,-9.9407,0.1460
0.0090,-0.4381,-9.9359,0.0527
0.0119,-0.4214,-9.9240,0.1197
0.0149,-0.3926,-9.9120,0.0168
0.0180,-0.4238,-9.8641,0.1030
0.0210,-0.4501,-9.8857,0.0455
0.0239,-0.4956,-9.9288,0.0886
0.0269,-0.3711,-9.9407,0.1101
0.0299,-0.4166,-9.9886,0.1556
0.0332,-0.3926,-9.9599,0.1580
0.0367,-0.4310,-9.9048,0.0383
0.0398,-0.4166,-9.9048,0.0790
0.0427,-0.4094,-9.8928,0.1365
0.0457,-0.4070,-9.8976,0.1221
0.0486,-0.3926,-9.8354,0.2682
0.0516,-0.4429,-9.9216,0.0239
0.0545,-0.3807,-9.9671,0.1053
0.0575,-0.4190,-10.1035,0.0311
0.0604,-0.4501,-9.9551,0.1389
0.0634,-0.3950,-9.9264,0.1245
0.0663,-0.3926,-9.9551,0.0934
0.0693,-0.4381,-9.9192,0.1101
0.0723,-0.3400,-9.9695,0.0838
0.0753,-0.3879,-9.9048,0.0646
0.0783,-0.3759,-9.9599,0.1269
0.0813,-0.4286,-9.9503,0.1221
0.0843,-0.4310,-9.9431,0.1006
0.0872,-0.4190,-9.9527,0.0455
0.0902,-0.4405,-9.9096,0.2538
0.0931,-0.4357,-9.9671,0.1700
0.0960,-0.4525,-9.9192,0.0766
0.0990,-0.3974,-9.9216,0.1293
0.1019,-0.4022,-9.9383,0.0958
0.1049,-0.3950,-9.9383,0.0359
0.1078,-0.3472,-9.9407,0.2370
0.1108,-0.4094,-9.9503,0.0407
0.1137,-0.3974,-10.0700,0.1053
0.1167,-0.4764,-9.9503,0.0527
0.1196,-0.3663,-9.8785,0.1293
0.1226,-0.4573,-9.8617,0.0072
0.1255,-0.4238,-9.9407,0.1867
0.1284,-0.4214,-9.9886,0.1149
0.1314,-0.3735,-9.9240,0.0838
0.1343,-0.4501,-9.9072,0.1556
0.1373,-0.4357,-9.9288,0.0790
0.1402,-0.3974,-9.9120,0.0742
0.1432,-0.4549,-9.9527,0.0838
0.1461,-0.3639,-9.9383,0.1245
0.1491,-0.3998,-9.9718,0.1317
0.1520,-0.4573,-9.8857,0.1867
